id,class,type,Ni,Pb,Cu,Cd,Sr,Co,Be,Li,Tl,V,Cr,Zn,Cs,U,Ga,Rb,Yb,Nd,Y,Dy,Er,Gd,Pr,Sm,Al,Ca,K,Mg,Na,Ti,Fe,Mn,P,S
1,Cropland,source,31.46,21.47,28.11,0.21,10.96,12.44,1.59,43.87,0.51,99.56,79.54,78.63,1.98,2.6,9.57,60.06,0.05,0.33,0.3,0.08,0.05,0.07,0.09,0.09,23.6,6.47,16.53,6.92,8.42,5.35,28.84,0.52,0.59,0.16
2,Cropland,source,31.26,19.8,28.19,0.18,13.83,12.54,1.65,44.74,0.51,96.76,79.05,79.39,1.74,2.84,9.92,64.97,0.08,0.57,0.45,0.12,0.08,0.12,0.15,0.15,28.7,7.31,17.09,7.62,8.12,5.25,28.82,0.52,0.59,0.13
3,Cropland,source,31.71,19.8,28.47,0.17,12.72,12.64,1.68,44.76,0.51,96.32,79.84,79.59,2.03,2.7,9.78,63.79,0.07,0.45,0.36,0.1,0.06,0.09,0.13,0.13,31.59,6.19,16.69,7.53,8.11,5.28,27.74,0.52,0.59,0.17
4,Woodland,source,32.15,23.33,32.47,0.28,16.06,11.6,1.57,43.71,0.49,88.43,72.74,78.6,4.33,1.86,9.92,76.95,0.08,0.43,0.37,0.11,0.07,0.09,0.12,0.13,34.2,7.4,17.05,8.69,10.74,4.74,28.04,0.66,0.53,0.21
5,Woodland,source,32.42,23.97,33.15,0.29,17.98,11.97,1.6,45.9,0.5,91.88,72.35,78.52,3.93,1.94,10.4,77.49,0.1,0.55,0.41,0.12,0.08,0.11,0.15,0.15,38.43,7.66,17.66,8.9,10.68,4.69,27.98,0.64,0.53,0.23
6,Woodland,source,32.42,23.81,34.17,0.29,18.04,11.81,1.63,45.8,0.5,89.79,76.87,82.22,3.83,1.97,10.25,75.74,0.1,0.62,0.45,0.14,0.09,0.12,0.17,0.17,32.87,7.61,17.63,8.72,10.91,4.76,28.55,0.64,0.53,0.25
7,Channelbank,source,39.72,21.92,29.74,0.16,26.39,14.41,2.05,46.64,0.56,110.68,89.18,85.46,8.64,2.11,12.58,123.5,0.52,1.73,2.2,0.68,0.43,0.52,0.43,0.53,44.77,12.73,20.26,9.13,8.52,4.49,34.73,0.62,0.53,0.08
8,Channelbank,source,40.16,22,29.83,0.17,30.62,14.47,2.09,50.67,0.57,112.91,89.52,85.84,8.72,2.14,12.88,124.05,0.65,2.28,2.69,0.8,0.53,0.61,0.55,0.65,53.52,19.93,20.66,11.45,11.59,4.62,33.8,0.64,0.52,0.06
9,Channelbank,source,39.87,21.98,30.12,0.17,28.59,14.33,2.1,48.38,0.55,112.6,86.72,90.37,8.49,2.14,12.8,125.62,0.57,1.94,2.41,0.75,0.49,0.56,0.45,0.59,49.12,19.41,19.97,10.85,11.24,4.49,34.05,0.62,0.5,0.06
10,target-1,target,45.29,28.83,39.92,0.28,25.5,16.92,2.32,60.33,0.68,130.84,105.65,107.51,6.36,2.95,14.28,115.3,0.32,1.3,1.4,0.42,0.27,0.33,0.33,0.38,49.02,13.79,23.8,11.62,12.86,6.36,39.67,0.78,0.71,0.2
11,target-1,target,29.6,18.84,26.08,0.18,16.66,11.05,1.52,39.42,0.45,85.5,69.03,70.25,4.16,1.93,9.33,75.34,0.21,0.85,0.92,0.28,0.18,0.22,0.21,0.25,32.03,9.01,15.55,7.59,8.4,4.15,25.92,0.51,0.47,0.13
12,target-1,target,39.28,25,34.62,0.24,22.11,14.67,2.01,52.32,0.59,113.46,91.61,93.23,5.51,2.56,12.38,99.99,0.28,1.12,1.22,0.37,0.24,0.29,0.28,0.33,42.51,11.95,20.64,10.07,11.15,5.51,34.4,0.68,0.62,0.17
13,target-1,target,24.13,15.36,21.27,0.15,13.59,9.01,1.24,32.14,0.36,69.72,56.29,57.28,3.39,1.57,7.61,61.44,0.17,0.69,0.75,0.22,0.15,0.18,0.17,0.2,26.12,7.35,12.68,6.19,6.85,3.39,21.14,0.42,0.38,0.1
14,target-2,target,48.2,29.25,40.27,0.27,30.89,17.6,2.48,61.73,0.7,136.24,109.03,110.29,8.61,2.79,15.31,136.17,0.5,1.83,2.12,0.65,0.42,0.5,0.45,0.54,56.11,17.48,25.01,12.64,13.53,6.12,41.68,0.81,0.69,0.16
15,target-2,target,31.5,19.11,26.32,0.18,20.18,11.5,1.62,40.34,0.46,89.03,71.24,72.07,5.62,1.82,10,88.98,0.33,1.19,1.39,0.42,0.27,0.32,0.29,0.35,36.66,11.42,16.34,8.26,8.84,4,27.24,0.53,0.45,0.11
16,target-2,target,41.8,25.36,34.92,0.23,26.78,15.26,2.15,53.53,0.61,118.15,94.55,95.64,7.46,2.42,13.27,118.08,0.43,1.58,1.84,0.56,0.36,0.43,0.39,0.47,48.65,15.16,21.69,10.97,11.73,5.3,36.15,0.71,0.6,0.14
17,target-2,target,25.68,15.58,21.46,0.14,16.46,9.38,1.32,32.89,0.37,72.59,58.09,58.76,4.59,1.48,8.16,72.55,0.27,0.97,1.13,0.34,0.22,0.26,0.24,0.29,29.89,9.32,13.32,6.74,7.21,3.26,22.21,0.43,0.37,0.09
